User Input,Chatbot Response,Timestamp
Hello,Hi there,2024-12-10 21:25:33
How are you,Hey,2024-12-10 21:25:39
What is the weather today in vijayawada,"I'm sorry, I cannot provide real-time weather information.",2024-12-10 21:25:56
tell me a joke,Hi there,2024-12-10 21:26:05
thanks,Glad I could help,2024-12-10 21:26:20
What is your age,My purpose is to assist you,2024-12-10 21:26:27
What is your budget,My purpose is to assist you,2024-12-10 21:26:37
tell me about your self,"I may not have personal preferences, but I can help you find movies based on your taste!",2024-12-10 21:27:31
I need some help,I'm here to help. What's the problem?,2024-12-10 21:28:06
How old are you,I can answer questions and provide assistance,2024-12-10 21:28:18
That was really nice of you,I am a chatbot,2024-12-10 21:29:04
ok bye,Goodbye,2024-12-10 21:31:13
